Serial_Number,Representative,Entry_Time,Repeat_Call,Source,Contact_Name,Phone,Type_of_Contact,Type_of_Request,Subject,Description,Status,Actions
1,נועה,2025-01-03 01:10:20,False,אחר,דני,0503322110,לקוח פרטי,פניה כללית,מחשב,המדפסת עושה רעש חזק,הופנה לגורם מטפל,בדיקת חיבורי המקרן
2,הדר,2024-12-29 11:34:20,True,ווטסאפ,רוני,0509872936,עובד משרד,שאלה,אינטרנט,המחשב לא מזהה את המסך,בהמתנה,בדיקת חיבורי המקרן
3,סיגל,2024-12-27 10:58:20,False,טלפון,שלמה,0543344556,לקוח פרטי,פניה כללית,טלוויזיה,המחשב לא נדלק,הופנה לגורם מטפל,בדיקת חיבורי המקרן
4,סיגל,2024-12-29 08:14:20,True,טלפון,יהודית,0539988776,לקוח פרטי,שאלה,מחשב,המקרן לא עובד,בהמתנה,חיבור מחדש של המסך
5,סיגל,2024-12-30 07:40:20,True,אחר,יהודית,0509872936,לקוח פרטי,תקלה,טלוויזיה,המחשב לא מזהה את המסך,טופל,ממתין להגעת טכנאי
6,תומר,2024-12-25 23:44:20,True,מייל,דני,0509872936,עובד משרד,בקשה,אינטרנט,המחשב לא מזהה את המסך,הועבר לגורם מטפל,ניקוי המדפסת והחלפת דפים
7,מיכל,2024-12-31 14:41:20,False,ווטסאפ,דני,0503322110,עובד משרד,בקשה,מקרן,הטלוויזיה לא פועלת,הועבר לגורם מטפל,הוזמן טכנאי
8,ליהי,2024-12-25 00:42:20,True,אחר,רוני,0505556677,לקוח פרטי,שאלה,טלפון,המדפסת לא מחוברת לרשת,הופנה לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
9,סיגל,2025-01-05 08:46:20,True,ווטסאפ,יוסי,0524448888,לקוח פרטי,פניה כללית,מחשב,הטלוויזיה לא פועלת,טופל,הוזמן טכנאי
10,איב,2025-01-03 07:31:20,False,מייל,יוסי,0543344556,לקוח פרטי,תקלה,מקרן,הטלפון לא מצלצל,הופנה לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
11,רני,2024-12-26 19:59:20,False,ווטסאפ,יהודית,0524448888,עובד משרד,תקלה,חשמל,המחשב לא נדלק,טופל,הוצאת המדפסת מהחשמל והחזרה
12,אלון,2025-01-05 19:49:20,False,מייל,יוסי,0543344556,לקוח פרטי,בקשה,אינטרנט,המדפסת עושה רעש חזק,הופנה לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
13,רני,2024-12-26 16:56:20,True,אחר,יוסי,0509872936,עובד משרד,פניה כללית,טלוויזיה,המקרן לא עובד,הופנה לגורם מטפל,חיבור מחדש של המסך
14,מיכל,2024-12-31 14:12:20,True,אחר,יוסי,0546677889,עובד משרד,תקלה,מקרן,החשמל נכבה כל הזמן,הופנה לגורם מטפל,חיבור מחדש של המסך
15,ליהי,2025-01-01 16:06:20,True,טלפון,שירה,0548765432,לקוח פרטי,בקשה,טלפון,המדפסת לא מחוברת לרשת,הופנה לגורם מטפל,חיבור מחדש של המסך
16,נועה,2024-12-27 01:28:20,False,אחר,מיה,0503322110,לקוח פרטי,תקלה,מחשב,האינטרנט לא עובד,טופל,ממתין למענה טכנאי
17,הדר,2024-12-26 20:32:20,True,אחר,יהודית,0543344556,עובד משרד,שאלה,טלוויזיה,החשמל נכבה כל הזמן,הועבר לגורם מטפל,חיבור מחדש של המסך
18,תומר,2024-12-24 08:13:20,True,אחר,אביב,0509872936,עובד משרד,פניה כללית,מחשב,המחשב לא מזהה את המסך,הופנה לגורם מטפל,ניקוי המדפסת והחלפת דפים
